entrez_id_human,entrez_id_mouse,pleiotropy_HPO,pleiotropy_MPO,median_exp,mean_exp,count_exp
10219,50928.0,,,1.16007,1.3366409622641506,0.0
346689,74253.0,,1.0,0.0447311,0.9406273245283018,1.0
8564,98256.0,,1.0,0.192351,0.7710040075471698,1.0
4297,214162.0,1.0,2.0,12.9933,13.46890094339623,32.0
9757,75410.0,2.0,2.0,29.4196,27.69268547169812,43.0
58508,231051.0,2.0,1.0,13.0901,13.387979811320754,36.0
8085,381022.0,2.0,2.0,16.7199,15.289471886792459,36.0
55904,69188.0,1.0,2.0,28.8346,28.705862452830196,50.0
387893,67956.0,,1.0,22.2196,25.130676603773587,47.0
51111,225888.0,1.0,2.0,15.9597,15.559378490566036,37.0
84787,232811.0,,1.0,8.13349,9.991637358490568,20.0
148930,654462.0,,,0.0,0.20210625471698113,0.0
85442,76484.0,,1.0,1.87296,11.075820771698112,15.0
57082,76464.0,1.0,1.0,0.130154,1.178596041509434,2.0
400506,66356.0,,1.0,3.66117,3.996115094339622,0.0
90417,51944.0,2.0,1.0,6.12905,10.18406037735849,6.0
9735,208628.0,,1.0,3.5987,4.6389110566037735,2.0
3836,16646.0,,1.0,15.2707,14.917205849056597,38.0
3839,16648.0,1.0,0.0,20.8173,22.818069056603772,50.0
3840,16649.0,,1.0,19.2519,19.489923018867923,49.0
23633,16650.0,,1.0,29.6093,26.90260301886792,52.0
402569,381686.0,,1.0,0.0187546,0.07302370905660374,0.0
3837,16211.0,,1.0,51.0989,52.36526603773585,53.0
448834,433619.0,,1.0,0.0642258,14.606594579811322,2.0
11133,70394.0,2.0,1.0,8.81385,10.441237169811322,21.0
3845,16653.0,2.0,2.0,14.3016,13.481555471698112,36.0
84626,77827.0,,,7.78408,9.023500943396225,19.0
51315,57896.0,,,40.2937,36.68780566037736,53.0
83999,84035.0,1.0,1.0,10.1118,11.720860264150947,27.0
79412,73016.0,,1.0,0.264584,0.7463354886792454,0.0
65095,215194.0,,1.0,32.0788,31.34385849056604,53.0
889,79264.0,1.0,2.0,18.2379,16.95877245283019,39.0
11103,52705.0,,,8.05054,7.586477735849058,11.0
3848,16678.0,1.0,2.0,2.07815,573.5462856415095,4.0
3858,16661.0,1.0,2.0,26.6034,866.6108603773584,53.0
